Generation,Average_Fitness,Worst_Fit,Best_Fit
152,100.0,100,100
153,100.0,100,100
154,100.0,100,100
155,100.0,100,100
156,100.0,100,100
157,100.0,100,100
158,100.0,100,100
159,100.0,100,100
160,100.0,100,100
161,100.0,100,100
162,100.0,100,100
163,100.0,100,100
164,100.0,100,100
165,100.0,100,100
166,100.0,100,100
167,100.0,100,100
168,100.0,100,100
169,100.0,100,100
170,100.0,100,100
171,100.0,100,100
172,100.0,100,100
173,100.0,100,100
174,100.0,100,100
175,100.0,100,100
176,100.0,100,100
177,100.0,100,100
178,100.0,100,100
179,100.0,100,100
180,100.0,100,100
181,100.0,100,100
182,100.0,100,100
183,100.0,100,100
184,100.0,100,100
185,100.0,100,100
186,100.0,100,100
187,100.0,100,100
188,100.0,100,100
189,100.0,100,100
190,100.0,100,100
191,100.0,100,100
192,100.0,100,100
193,100.0,100,100
194,100.0,100,100
195,100.0,100,100
196,100.0,100,100
197,100.0,100,100
198,100.0,100,100
199,100.0,100,100
200,100.0,100,100
201,100.0,100,100
202,100.0,100,100
203,100.0,100,100
204,100.0,100,100
205,100.0,100,100
206,100.0,100,100
207,100.0,100,100
208,100.0,100,100
209,100.0,100,100
210,100.0,100,100
211,100.0,100,100
212,100.0,100,100
213,100.0,100,100
214,100.0,100,100
215,100.0,100,100
216,100.0,100,100
217,100.0,100,100
218,100.0,100,100
219,100.0,100,100
220,100.0,100,100
221,100.0,100,100
222,100.0,100,100
223,100.0,100,100
224,100.0,100,100
225,100.0,100,100
226,100.0,100,100
227,100.0,100,100
228,100.0,100,100
229,100.0,100,100
230,100.0,100,100
231,100.0,100,100
232,100.0,100,100
233,100.0,100,100
234,100.0,100,100
235,100.0,100,100
236,100.0,100,100
237,100.0,100,100
238,100.0,100,100
239,100.0,100,100
240,100.0,100,100
241,100.0,100,100
242,100.0,100,100
243,100.0,100,100
244,100.0,100,100
245,100.0,100,100
246,100.0,100,100
247,100.0,100,100
248,100.0,100,100
249,100.0,100,100
250,100.0,100,100
251,100.0,100,100
252,100.0,100,100
253,100.0,100,100
254,100.0,100,100
255,100.0,100,100
256,100.0,100,100
257,100.0,100,100
258,100.0,100,100
259,100.0,100,100
260,100.0,100,100
261,100.0,100,100
262,100.0,100,100
263,100.0,100,100
264,100.0,100,100
265,100.0,100,100
266,100.0,100,100
267,100.0,100,100
268,100.0,100,100
269,100.0,100,100
270,100.0,100,100
271,100.0,100,100
272,100.0,100,100
273,100.0,100,100
274,100.0,100,100
275,100.0,100,100
276,100.0,100,100
277,100.0,100,100
278,100.0,100,100
279,100.0,100,100
280,100.0,100,100
281,100.0,100,100
282,100.0,100,100
283,100.0,100,100
284,100.0,100,100
285,100.0,100,100
286,100.0,100,100
287,100.0,100,100
288,100.0,100,100
289,100.0,100,100
290,100.0,100,100
291,100.0,100,100
292,100.0,100,100
293,100.0,100,100
294,100.0,100,100
295,100.0,100,100
296,100.0,100,100
297,100.0,100,100
298,100.0,100,100
299,100.0,100,100
300,100.0,100,100
301,100.0,100,100
302,100.0,100,100
303,100.0,100,100
304,100.0,100,100
305,100.0,100,100
306,100.0,100,100
307,100.0,100,100
308,100.0,100,100
309,100.0,100,100
310,100.0,100,100
311,100.0,100,100
312,100.0,100,100
313,100.0,100,100
314,100.0,100,100
315,100.0,100,100
316,100.0,100,100
317,100.0,100,100
318,100.0,100,100
319,100.0,100,100
320,100.0,100,100
321,100.0,100,100
322,100.0,100,100
323,100.0,100,100
324,100.0,100,100
325,100.0,100,100
326,100.0,100,100
327,100.0,100,100
328,100.0,100,100
329,100.0,100,100
330,100.0,100,100
331,100.0,100,100
332,100.0,100,100
333,100.0,100,100
334,100.0,100,100
335,100.0,100,100
336,100.0,100,100
337,100.0,100,100
338,100.0,100,100
339,100.0,100,100
340,100.0,100,100
341,100.0,100,100
342,100.0,100,100
343,100.0,100,100
344,100.0,100,100
345,100.0,100,100
346,100.0,100,100
347,100.0,100,100
348,100.0,100,100
349,100.0,100,100
350,100.0,100,100
351,100.0,100,100
352,100.0,100,100
353,100.0,100,100
354,100.0,100,100
355,100.0,100,100
356,100.0,100,100
357,100.0,100,100
358,100.0,100,100
359,100.0,100,100
360,100.0,100,100
361,100.0,100,100
362,100.0,100,100
363,100.0,100,100
364,100.0,100,100
365,100.0,100,100
366,100.0,100,100
367,100.0,100,100
368,100.0,100,100
369,100.0,100,100
370,100.0,100,100
371,100.0,100,100
372,100.0,100,100
373,100.0,100,100
374,100.0,100,100
375,100.0,100,100
376,100.0,100,100
377,100.0,100,100
378,100.0,100,100
379,100.0,100,100
380,100.0,100,100
381,100.0,100,100
382,100.0,100,100
383,100.0,100,100
384,100.0,100,100
385,100.0,100,100
386,100.0,100,100
387,100.0,100,100
388,100.0,100,100
389,100.0,100,100
390,100.0,100,100
391,100.0,100,100
392,100.0,100,100
393,100.0,100,100
394,100.0,100,100
395,100.0,100,100
396,100.0,100,100
397,100.0,100,100
398,100.0,100,100
399,100.0,100,100
400,100.0,100,100
401,100.0,100,100
402,100.0,100,100
403,100.0,100,100
404,100.0,100,100
405,100.0,100,100
406,100.0,100,100
407,100.0,100,100
408,100.0,100,100
409,100.0,100,100
410,100.0,100,100
411,100.0,100,100
412,100.0,100,100
413,100.0,100,100
414,100.0,100,100
415,100.0,100,100
416,100.0,100,100
417,100.0,100,100
418,100.0,100,100
419,100.0,100,100
420,100.0,100,100
421,100.0,100,100
422,100.0,100,100
423,100.0,100,100
424,100.0,100,100
425,100.0,100,100
426,100.0,100,100
427,100.0,100,100
428,100.0,100,100
429,100.0,100,100
430,100.0,100,100
431,100.0,100,100
432,100.0,100,100
433,100.0,100,100
434,100.0,100,100
435,100.0,100,100
436,100.0,100,100
437,100.0,100,100
438,100.0,100,100
439,100.0,100,100
440,100.0,100,100
441,100.0,100,100
442,100.0,100,100
443,100.0,100,100
444,100.0,100,100
445,100.0,100,100
446,100.0,100,100
447,100.0,100,100
448,100.0,100,100
449,100.0,100,100
450,100.0,100,100
451,100.0,100,100
452,100.0,100,100
453,100.0,100,100
454,100.0,100,100
455,100.0,100,100
456,100.0,100,100
457,100.0,100,100
458,100.0,100,100
459,100.0,100,100
460,100.0,100,100
461,100.0,100,100
462,100.0,100,100
463,100.0,100,100
464,100.0,100,100
465,100.0,100,100
466,100.0,100,100
467,100.0,100,100
468,100.0,100,100
469,100.0,100,100
470,100.0,100,100
471,100.0,100,100
472,100.0,100,100
473,100.0,100,100
474,100.0,100,100
475,100.0,100,100
476,100.0,100,100
477,100.0,100,100
478,100.0,100,100
479,100.0,100,100
480,100.0,100,100
481,100.0,100,100
482,100.0,100,100
483,100.0,100,100
484,100.0,100,100
485,100.0,100,100
486,100.0,100,100
487,100.0,100,100
488,100.0,100,100
489,100.0,100,100
490,100.0,100,100
491,100.0,100,100
492,100.0,100,100
493,100.0,100,100
494,100.0,100,100
495,100.0,100,100
496,100.0,100,100
497,100.0,100,100
498,100.0,100,100
499,100.0,100,100
500,100.0,100,100
